         CCEN           E1        VISEN                      E            PX            PY            PZ

 3.677421e+00 6.734736e-01 3.417027e+00	          5.581065e-01  1.382870e-01 -1.676213e-01  3.432196e-02
 2.260276e+00 1.377209e+00 2.260276e+00	 	  5.536283e-01  2.265567e-01 -3.917997e-01  1.127232e-01
 6.918971e+00 2.432379e+00 4.486592e+00	 	  5.610287e-01  1.326202e-01  1.849113e-01 -8.078595e-02
 2.448649e+00 4.655270e-01 2.448649e+00	 	  5.607306e-01 -8.200794e-02  1.960616e-02 -9.037011e-02
 3.766378e+00 1.581631e+00 3.766378e+00	 	  5.624853e-01 -6.057173e-04 -2.891877e-02  2.038417e-01
 2.203983e+00 4.892863e-01 2.203984e+00	 	  5.577741e-01  3.656179e-03 -1.952373e-02 -4.596914e-02
 4.438799e+00 1.313404e+00 4.438799e+00	 	  5.622107e-01  8.052595e-02  3.877459e-02 -9.110023e-02
 4.376824e+00 2.364678e+00 4.376824e+00	 	  5.554851e-01 -3.436339e-01  1.677929e-02 -1.059847e-01
 2.208434e+00 3.547150e-01 1.975377e+00	 	  5.627443e-01  9.362374e-02  3.274202e-03  4.634550e-02
 6.231312e+00 2.508483e+00 3.722830e+00	 	  5.606250e-01 -1.371851e-01 -8.751397e-02 -8.369145e-02
 3.233459e+00 5.222323e-01 3.050041e+00	 	  5.588551e-01  2.624287e-02 -9.919218e-02 -2.067446e-02
 5.629699e+00 1.303599e+00 4.563923e+00	 	  5.597438e-01 -1.488586e-01 -1.722015e-01  8.628310e-02


one track

 6.842696e+00  3.290956e+00  7.085688e+00  	  5.546293e-01 -2.114327e-01  3.383745e-02 -1.961364e-01
 1.866997e+00  5.683271e-01  3.748664e+00  	  5.579045e-01  1.353518e-01  5.590903e-02  9.662621e-02
 3.856995e+00  2.461062e+00  2.983641e+00  	  5.605801e-01  7.911816e-03  1.038137e-01  2.174607e-02
 4.763690e+00  2.800490e+00  5.406583e+00  	  5.541558e-01 -4.025822e-01 -1.386815e-01  3.855256e-02
 5.966781e+00  2.844272e+00  6.338063e+00  	  5.595070e-01  1.425905e-01 -8.655258e-02 -9.366251e-02
 1.894783e+00  7.110666e-01  2.811930e+00  	  5.605203e-01 -1.513513e-01 -8.933190e-02 -4.553303e-02
 5.058340e+00  1.005984e+00  5.310993e+00  	  5.588013e-01 -2.143913e-01  1.496596e-01 -4.925425e-02
 2.093688e+00  8.805035e-01  4.889145e+00  	  5.619160e-01 -1.046973e-01 -6.237375e-02  1.505380e-01
 2.842793e+00  1.606865e+00  2.983833e+00  	  5.572083e-01  1.955889e-01  4.850335e-02 -1.618557e-01
 3.992296e+00  8.940016e-01  4.230566e+00  	  5.601319e-01 -5.347332e-02  7.547133e-02 -7.343382e-02
 6.293981e+00  1.421063e+00  6.542082e+00  	  5.563663e-01  4.342410e-02 -1.230551e-01 -1.855105e-01
 1.794866e+00  4.557225e-01  1.911946e+00  	  5.527579e-01  1.525406e-01  1.240712e-01  1.666073e-01
 4.118028e+00  5.816257e-01  3.361044e+00  	  5.614427e-01  5.518220e-02  9.172977e-02  2.720919e-02
 1.195440e+00  4.479711e-01  3.253846e+00  	  5.599816e-01 -9.465711e-02 -3.238916e-03 -5.819557e-03
 3.133072e+00  1.291523e+00  3.598052e+00  	  5.554264e-01  7.785823e-02 -2.487941e-01  2.271953e-01
 6.491174e+00  1.269646e+00  6.339029e+00  	  5.581194e-01 -9.483700e-02  1.463730e-01 -3.228456e-02
 5.033928e+00  2.001337e+00  2.202819e+00  	  5.529054e-01  3.564981e-01  4.603485e-02  1.337596e-01
 4.180552e+00  1.422112e+00  5.729194e+00  	  5.506234e-01  2.891204e-01  2.807478e-01 -1.867899e-01
 1.442710e+00  7.671943e-01  4.681226e+00  	  5.585252e-01  1.117837e-01  7.976609e-02 -5.043596e-04
 4.049227e+00  2.795916e+00  3.164428e+00  	  5.572094e-01  7.480557e-02  2.227845e-01  1.838773e-01
 2.774572e+00  1.106844e+00  2.885811e+00  	  5.649621e-01  5.422878e-02  1.456477e-01  2.625366e-02
 7.621229e+00  2.513810e+00  7.688132e+00  	  5.525575e-01 -3.870783e-01  8.660046e-02 -1.529609e-01
 7.397274e+00  2.827099e+00  7.275789e+00  	  5.575001e-01  2.178805e-01 -1.060750e-01 -7.116095e-02
 6.362419e+00  1.215200e+00  4.066092e+00  	  5.611821e-01 -6.977165e-02 -1.929529e-02  6.939396e-04
 2.290101e+00  1.257850e+00  2.950721e+00  	  5.552518e-01 -4.611334e-02 -1.812505e-01  1.790781e-01
 3.772213e+00  1.761529e+00  3.344754e+00  	  5.593941e-01 -1.037447e-01 -1.580867e-01 -6.983462e-02
 4.447484e+00  1.043309e+00  4.372572e+00  	  5.617039e-01  3.363365e-02  5.616950e-02  8.269916e-02
 3.642079e+00  6.783931e-01  4.064809e+00  	  5.586988e-01  6.258188e-02 -1.342646e-01  2.176678e-01
 6.559164e+00  3.472105e+00  7.060709e+00  	  5.597582e-01  8.446791e-02 -6.146443e-02  3.603720e-02
 1.162640e+00  4.724203e-01  2.571344e+00  	  5.551968e-01 -1.006086e-01 -6.815083e-02  2.077248e-01
 2.386239e+00  5.103703e-01  2.602477e+00  	  5.551782e-01 -3.432932e-01  4.337753e-02 -9.952229e-02
 6.616943e+00  1.032554e+00  6.514884e+00  	  5.616761e-01  1.114588e-01  3.021218e-02  1.448895e-01
 2.029798e+00  6.106437e-01  4.023339e+00  	  5.575969e-01  2.179372e-01  1.567915e-01  1.590586e-01
 5.548406e+00  1.028230e+00  5.437881e+00  	  5.578382e-01  9.141754e-02 -3.321800e-02  1.995480e-01
 3.577246e+00  1.117903e+00  2.544292e+00  	  5.532317e-01  1.143806e-01 -2.134620e-01  8.871677e-02
 2.835402e+00  1.044659e+00  3.494243e+00  	  5.610299e-01  9.716964e-02  1.172362e-02  6.713738e-02
 4.250777e+00  1.452639e+00  3.067840e+00  	  5.602019e-01  5.748933e-02 -8.604182e-02 -7.054769e-02
 3.229418e+00  6.067687e-01  3.347223e+00  	  5.544224e-01  4.020385e-01  5.380413e-02 -1.356145e-01
 7.337733e+00  1.713677e+00  7.925064e+00  	  5.588378e-01  8.159302e-02 -1.191384e-01 -1.797677e-01
